逆順,FALSE,,名前,攻撃,防衛,,A1,A2,A3,A4,SP,SP,D1,D2,D3,D4,SP,SP,取得用,ST判定・攻撃,ST判定・防衛,SP判定・攻撃,SP判定・防衛,勝敗,マッチアップ,ユニーク,試合数,勝ち,負け,スタッツ,勝率,構築,攻撃/防衛のみ集計,試合数,,,,スタッツ,勝率,構築,簡易表示,
,,,ツバキ,ツバキ,T350,TRUE,シロコ＊テラー,ホシノ,ハルカ,イオリ,シロコ（水着）,ナギサ,マリナ,シロコ＊テラー,ホシノ,コトリ（応援団）,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,ハルカ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,A750,.,.","シロコ＊テラー,シュン,ホシノ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,A750,.,.",,,,,,,,,,,,,,,,
,,,ツバキ（ガイド）,ツバキ（ガイド）,.,FALSE,ホシノ,レイサ,シロコ＊テラー,マリナ,シロコ（水着）,ウタハ,マリナ,シロコ＊テラー,ホシノ,コトリ（応援団）,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,FALSE,"ホシノ,レイサ,シロコ＊テラー,マリナ,シロコ（水着）,ウタハ,T350,シロコ＊テラー,T350,A750,.,.","サオリ,シュン,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,A750,.,.",,,,,,,,,,,,,,,,
,,,ツルギ,ツルギ,ツルギ,TRUE,ホシノ,マリナ,シロコ＊テラー,レイサ,シロコ（水着）,ミノリ,マリナ,シロコ＊テラー,ホシノ,コトリ（応援団）,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,TRUE,"ホシノ,マリナ,シロコ＊テラー,レイサ,シロコ（水着）,ミノリ,T350,シロコ＊テラー,T350,A750,.,.","シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,ウタハ,T350,シロコ＊テラー,T350,A750,.,.",,,,,,,,,,,,,,,,
,,,ツルギ（水着）,ツルギ（水着）,A450,TRUE,ホシノ,シロコ＊テラー,サオリ,ハルカ,シロコ（水着）,ナギサ,マリナ,シロコ＊テラー,ホシノ,コトリ（応援団）,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,TRUE,"ホシノ,シロコ＊テラー,サオリ,ハルカ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,A750,.,.","ハルカ,ホシノ,マリナ,シロコ＊テラー,シロコ（水着）,ウタハ,T350,シロコ＊テラー,T350,A750,.,.",,,,,,,,,,,,,,,,
,,,トキ,トキ,A650,FALSE,マリナ,シロコ＊テラー,ホシノ,ハルカ,シロコ（水着）,ミノリ,マリナ,シロコ＊テラー,ホシノ,コトリ（応援団）,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,FALSE,"マリナ,シロコ＊テラー,ホシノ,ハルカ,シロコ（水着）,ミノリ,T350,シロコ＊テラー,T350,A750,.,.","シロコ＊テラー,ホシノ,サオリ,マリナ,シロコ（水着）,ウタハ,T350,シロコ＊テラー,T350,A750,.,.",,,,,,,,,,,,,,,,
,,,トキ（バニーガール）,トキ（バニーガール）,A650,FALSE,マリナ,シロコ＊テラー,ホシノ,ハルカ,シロコ（水着）,ミノリ,マリナ,シロコ＊テラー,ホシノ,コトリ（応援団）,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,FALSE,"マリナ,シロコ＊テラー,ホシノ,ハルカ,シロコ（水着）,ミノリ,T350,シロコ＊テラー,T350,A750,.,.","シロコ＊テラー,ツルギ,ホシノ,スミレ,ウタハ,サキ,シロコ＊テラー,T350,A650,T350,.,.",,,,,,,,,,,,,,,,
,,,トモエ,トモエ,SUP750,TRUE,コトリ（応援団）,マリナ,シロコ＊テラー,ホシノ,シロコ（水着）,サキ,イオリ,シロコ＊テラー,ホシノ,シュン,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"コトリ（応援団）,マリナ,シロコ＊テラー,ホシノ,シロコ（水着）,サキ,A650,シロコ＊テラー,T350,シュン,.,.","サオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ヒビキ,T350,シロコ＊テラー,T350,A750,.,.",,,,,,,,,,,,,,,,
,,,トモエ（チーパオ）,トモエ（チーパオ）,.,FALSE,イオリ,シロコ＊テラー,ツルギ,ホシノ,シロコ（水着）,ヒビキ,イオリ,シロコ＊テラー,ホシノ,シュン,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,FALSE,"イオリ,シロコ＊テラー,ツルギ,ホシノ,シロコ（水着）,ヒビキ,A650,シロコ＊テラー,T350,シュン,.,.","ホシノ,シロコ＊テラー,レイサ,スミレ,シロコ（水着）,ミノリ,T350,シロコ＊テラー,T350,A750,.,.",,,,,,,,,,,,,,,,
,,,ナギサ,ナギサ,.,FALSE,ツルギ,ホシノ,シロコ＊テラー,イオリ,シロコ（水着）,ヒビキ,イオリ,シロコ＊テラー,ホシノ,シュン,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,FALSE,"ツルギ,ホシノ,シロコ＊テラー,イオリ,シロコ（水着）,ヒビキ,A650,シロコ＊テラー,T350,シュン,.,.","ハルカ,シロコ＊テラー,イオリ,マリナ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,ナグサ,ナグサ,A750,FALSE,ホシノ,ツルギ,シロコ＊テラー,イオリ,シロコ（水着）,ヒビキ,イオリ,シロコ＊テラー,ホシノ,シュン,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,FALSE,"ホシノ,ツルギ,シロコ＊テラー,イオリ,シロコ（水着）,ヒビキ,A650,シロコ＊テラー,T350,シュン,.,.","アズサ,ハルカ,マリナ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,A650,.,.",,,,,,,,,,,,,,,,
,,,ナツ,ナツ,T350,FALSE,コトリ（応援団）,マリナ,シロコ＊テラー,ホシノ,シロコ（水着）,サキ,イオリ,シロコ＊テラー,ホシノ,シュン,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,FALSE,"コトリ（応援団）,マリナ,シロコ＊テラー,ホシノ,シロコ（水着）,サキ,A650,シロコ＊テラー,T350,シュン,.,.","イオリ,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,A650,.,.",,,,,,,,,,,,,,,,
,,,ナツ（バンド）,ナツ（バンド）,回復550,TRUE,イオリ,マリナ,シュン,シロコ＊テラー,シロコ（水着）,ナギサ,シロコ＊テラー,ホシノ,マリナ,イオリ,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,TRUE,"イオリ,マリナ,シュン,シロコ＊テラー,シロコ（水着）,ナギサ,シロコ＊テラー,T350,T350,A650,.,.","シロコ＊テラー,マリナ,ホシノ,イオリ,シロコ（水着）,ナギサ,A650,T350,シロコ＊テラー,シュン,.,.",,,,,,,,,,,,,,,,
,,,ニヤ,ニヤ,.,TRUE,イオリ,マリナ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,シロコ＊テラー,イオリ,ホシノ,マリナ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"イオリ,マリナ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,シロコ＊テラー,A650,T350,T350,.,.","シロコ＊テラー,ハルカ,マリナ,イオリ,シロコ（水着）,ナギサ,シュン,T350,シロコ＊テラー,A650,.,.",,,,,,,,,,,,,,,,
,,,ネル,ネル,A450,FALSE,イオリ,マリナ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,シロコ＊テラー,イオリ,マリナ,ホシノ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,FALSE,"イオリ,マリナ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,シロコ＊テラー,A650,T350,T350,.,.","イオリ,ハルカ,ホシノ,シロコ＊テラー,シロコ（水着）,アヤネ（水着）,T350,シロコ＊テラー,シュン,A650,.,.",,,,,,,,,,,,,,,,
,,,ネル（バニーガール）,ネル（バニーガール）,T450,TRUE,イオリ,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,イオリ,ホシノ,ハルカ,シロコ＊テラー,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"イオリ,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,A650,T350,T350,シロコ＊テラー,.,.","シロコ＊テラー,イオリ,シュン,ホシノ,シロコ（水着）,アヤネ（水着）,A650,T350,T350,シロコ＊テラー,.,.",,,,,,,,,,,,,,,,
,,,ネル（制服）,ネル（制服）,A550,FALSE,イオリ,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,シロコ＊テラー,ホシノ,マリナ,イオリ,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,FALSE,"イオリ,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,シロコ＊テラー,T350,T350,A650,.,.","イオリ,ハルカ,ホシノ,シロコ＊テラー,シロコ（水着）,ヒビキ,T350,A650,シロコ＊テラー,T350,.,.",,,,,,,,,,,,,,,,
,,,ノア,ノア,SUP550,TRUE,コハル（水着）,シロコ＊テラー,マリナ,ホシノ,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,ハルカ,レイサ,ホシノ,シロコ（水着）,ヒビキ,TRUE,,,TRUE,TRUE,TRUE,"コハル（水着）,シロコ＊テラー,マリナ,ホシノ,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,T350,T350,T350,.,.","シロコ＊テラー,ホシノ,ハルカ,スミレ,シロコ（水着）,ナギサ,シロコ＊テラー,T350,T350,A650,.,.",,,,,,,,,,,,,,,,
,,,ノア（パジャマ）,ノア（パジャマ）,A550,TRUE,コハル（水着）,シロコ＊テラー,マリナ,ホシノ,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,ミカ,シュン,ホシノ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"コハル（水着）,シロコ＊テラー,マリナ,ホシノ,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,A450,シュン,T350,.,.","ツルギ,マリナ,イオリ,ミカ,シロコ（水着）,アツコ（水着）,シロコ＊テラー,T350,T350,A650,.,.",,,,,,,,,,,,,,,,
,,,ノゾミ,ノゾミ,A550,TRUE,サオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ナギサ,マリナ,ホシノ,シロコ＊テラー,イオリ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"サオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ナギサ,T350,T350,シロコ＊テラー,A650,.,.","ハルカ,シロコ＊テラー,ホシノ,イオリ,シロコ（水着）,アヤネ（水着）,T350,シロコ＊テラー,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,ノドカ,ノドカ,.,FALSE,コハル（水着）,シロコ＊テラー,マリナ,ホシノ,シロコ（水着）,ナギサ,イオリ,ハルカ,ホシノ,シロコ＊テラー,シロコ（水着）,ヒビキ,TRUE,,,TRUE,TRUE,FALSE,"コハル（水着）,シロコ＊テラー,マリナ,ホシノ,シロコ（水着）,ナギサ,A650,T350,T350,シロコ＊テラー,.,.","イオリ,ホシノ,シロコ＊テラー,マリナ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,ノドカ（温泉）,ノドカ（温泉）,.,FALSE,サオリ,ハルカ,シロコ＊テラー,ホシノ,シロコ（水着）,ナギサ,イオリ,ハルカ,ホシノ,シロコ＊テラー,シロコ（水着）,ヒビキ,TRUE,,,TRUE,TRUE,FALSE,"サオリ,ハルカ,シロコ＊テラー,ホシノ,シロコ（水着）,ナギサ,A650,T350,T350,シロコ＊テラー,.,.","シロコ＊テラー,レイサ,シュン,イオリ,シロコ（水着）,ヒビキ,T350,シロコ＊テラー,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,ノノミ,ノノミ,A750,FALSE,イオリ,ホシノ,シュン,シロコ＊テラー,シロコ（水着）,ナギサ,マリナ,シロコ＊テラー,シュン,ホシノ,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,FALSE,"イオリ,ホシノ,シュン,シロコ＊テラー,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","ホシノ,スミレ,シロコ＊テラー,レイサ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,ノノミ（水着）,ノノミ（水着）,A750,FALSE,ホシノ,シロコ＊テラー,ハルカ,イオリ,シロコ（水着）,ナギサ,マリナ,シロコ＊テラー,シュン,ホシノ,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,FALSE,"ホシノ,シロコ＊テラー,ハルカ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","サオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ヒビキ,T350,シロコ＊テラー,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,ハスミ,ハスミ,A750,FALSE,ホシノ,レイサ,シロコ＊テラー,イオリ,シロコ（水着）,ナギサ,マリナ,シロコ＊テラー,シュン,ホシノ,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,FALSE,"ホシノ,レイサ,シロコ＊テラー,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","サオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,サキ,T350,シロコ＊テラー,T350,A750,.,.",,,,,,,,,,,,,,,,
,,,ハスミ（体操服）,ハスミ（体操服）,A850,TRUE,シロコ＊テラー,ホシノ,シュン,ミカ,シロコ（水着）,ナギサ,マリナ,シロコ＊テラー,シュン,ホシノ,シロコ（水着）,アヤネ（水着）,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,シュン,ミカ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.","サオリ,ハルカ,シロコ＊テラー,ホシノ,シロコ（水着）,サキ,T350,シロコ＊テラー,T350,A750,.,.",,,,,,,,,,,,,,,,
,,,ハナエ,ハナエ,.,FALSE,ツルギ,ミカ,シロコ＊テラー,ホシノ,シロコ（水着）,ヒビキ,マリナ,シロコ＊テラー,ホシノ,コトリ（応援団）,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,FALSE,"ツルギ,ミカ,シロコ＊テラー,ホシノ,シロコ（水着）,ヒビキ,T350,シロコ＊テラー,T350,A750,.,.","サオリ,ホシノ,シロコ＊テラー,マリナ,シロコ（水着）,サキ,T350,シロコ＊テラー,T350,A750,.,.",,,,,,,,,,,,,,,,
,,,ハナエ（クリスマス）,ハナエ（クリスマス）,.,FALSE,シロコ＊テラー,シュン,ホシノ,イオリ,シロコ（水着）,ナギサ,マリナ,シロコ＊テラー,ホシノ,コトリ（応援団）,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,シュン,ホシノ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,A750,.,.","シロコ＊テラー,ハルカ,マリナ,ホシノ,シロコ（水着）,サキ,シロコ＊テラー,A650,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,ハナコ,ハナコ,.,FALSE,サオリ,シュン,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,マリナ,シロコ＊テラー,ホシノ,コトリ（応援団）,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,FALSE,"サオリ,シュン,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,A750,.,.","ハルカ,シロコ＊テラー,ホシノ,イオリ,シロコ（水着）,ナギサ,T350,T350,T350,シロコ＊テラー,.,.",,,,,,,,,,,,,,,,
,,,ハナコ（水着）,ハナコ（水着）,A650,FALSE,シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,ウタハ,マリナ,シロコ＊テラー,ホシノ,コトリ（応援団）,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,ウタハ,T350,シロコ＊テラー,T350,A750,.,.","シロコ＊テラー,ハルカ,マリナ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,ハルカ,ハルカ,T350,FALSE,シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,ウタハ,マリナ,シロコ＊テラー,ホシノ,コトリ（応援団）,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,ウタハ,T350,シロコ＊テラー,T350,A750,.,.","イオリ,マリナ,ホシノ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,A650,シロコ＊テラー,シュン,.,.",,,,,,,,,,,,,,,,
,,,ハルカ（正月）,ハルカ（正月）,.,FALSE,ハルカ,ホシノ,マリナ,シロコ＊テラー,シロコ（水着）,ウタハ,マリナ,シロコ＊テラー,ホシノ,コトリ（応援団）,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,FALSE,"ハルカ,ホシノ,マリナ,シロコ＊テラー,シロコ（水着）,ウタハ,T350,シロコ＊テラー,T350,A750,.,.","シロコ＊テラー,ハルカ,マリナ,イオリ,シロコ（水着）,ナギサ,T350,シロコ＊テラー,T350,A650,.,.",,,,,,,,,,,,,,,,
,,,ハルナ,ハルナ,A750,TRUE,シロコ＊テラー,ホシノ,サオリ,マリナ,シロコ（水着）,ウタハ,マリナ,シロコ＊テラー,ホシノ,コトリ（応援団）,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,サオリ,マリナ,シロコ（水着）,ウタハ,T350,シロコ＊テラー,T350,A750,.,.","シロコ＊テラー,ホシノ,ハルカ,サオリ,シロコ（水着）,アツコ（水着）,シロコ＊テラー,A650,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,ハルナ（正月）,ハルナ（正月）,A750,FALSE,シロコ＊テラー,ツルギ,ホシノ,スミレ,ウタハ,サキ,シロコ＊テラー,ホシノ,イオリ,マリナ,シロコ（水着）,ヒビキ,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,ツルギ,ホシノ,スミレ,ウタハ,サキ,シロコ＊テラー,T350,A650,T350,.,.","サオリ,ハルカ,シロコ＊テラー,ホシノ,シロコ（水着）,アツコ（水着）,T350,A650,シロコ＊テラー,T350,.,.",,,,,,,,,,,,,,,,
,,,ハルナ（体操服）,ハルナ（体操服）,.,FALSE,シロコ＊テラー,ツルギ,ホシノ,スミレ,ウタハ,サキ,シロコ＊テラー,ホシノ,イオリ,マリナ,シロコ（水着）,ヒビキ,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,ツルギ,ホシノ,スミレ,ウタハ,サキ,シロコ＊テラー,T350,A650,T350,.,.","シロコ＊テラー,ホシノ,マリナ,コハル（水着）,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,A650,T350,T350,.,.",,,,,,,,,,,,,,,,
,,,ハレ,ハレ,.,TRUE,シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,マリナ,シロコ＊テラー,ホシノ,イオリ,シロコ（水着）,ナギサ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,T350,シロコ＊テラー,T350,A650,.,.","コハル（水着）,ホシノ,シュン,シロコ＊テラー,シロコ（水着）,アヤネ（水着）,シロコ＊テラー,A650,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,ハレ（キャンプ）,ハレ（キャンプ）,SUP650,FALSE,シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,マリナ,シロコ＊テラー,ホシノ,イオリ,シロコ（水着）,ミノリ,TRUE,,,TRUE,TRUE,FALSE,"シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,T350,シロコ＊テラー,T350,A650,.,.","コハル（水着）,ホシノ,マリナ,シロコ＊テラー,シロコ（水着）,ユズ（メイド）,シロコ＊テラー,T350,T350,A650,.,.",,,,,,,,,,,,,,,,
,,,ヒカリ,ヒカリ,SUP550,TRUE,シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,マリナ,シロコ＊テラー,ホシノ,イオリ,シロコ（水着）,ミノリ,TRUE,,,TRUE,TRUE,TRUE,"シロコ＊テラー,ホシノ,マリナ,ハルカ,シロコ（水着）,サキ,T350,シロコ＊テラー,T350,A650,.,.","シュン,ホシノ,イオリ,シロコ＊テラー,シロコ（水着）,ナギサ,T350,シロコ＊テラー,シュン,T350,.,.",,,,,,,,,,,,,,,,
,,,ヒナ,ヒナ,A750,FALSE,サオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ヒビキ,マリナ,シロコ＊テラー,ホシノ,コトリ（応援団）,シロコ（水着）,サキ,TRUE,,,TRUE,TRUE,FALSE,"サオリ,ホシノ,シロコ＊テラー,ハルカ,シロコ（水着）,ヒビキ,T350,シロコ＊テラー,T350,A750,.,.","ホシノ,イオリ,シュン,シロコ＊テラー,シロコ（水着）,ヒビキ,T350,シロコ＊テラー,シュン,T350,.,.",,,,,,,,,,,,,,,,
